player_id,full_name,status,position,team
138,Ben Roethlisberger,Active,QB,PIT
3214,Hunter Henry,Active,TE,NE
6093,Jake Bailey,Active,P,NE
6716,Olive Sagapolu,Active,DT,ATL
7604,Tamorrion Terry,Active,WR,SEA
2438,Mark Glowinski,Active,OG,IND
471,Garrison Sanborn,Active,LS,TB
7987,Darius Hodge,Active,DE,CIN
4462,Erik Magnuson,Active,C,LV
1160,Tahir Whitehead,Active,LB,CAR
7617,Matt Ammendola,Active,K,NYJ
5297,Zach Sieler,Active,DT,MIA
6700,Marcelias Sutton,Active,RB,SEA
6176,Cameron Smith,Active,LB,MIN
4941,Dontre Wilson,Active,WR,LAC
7060,Ben Bartch,Active,OL,JAX
734,Trent Williams,Active,OT,SF
96,Aaron Rodgers,Active,QB,GB
1507,Jon Bostic,Active,LB,WAS
6997,Shaquille Quarterman,Active,LB,JAX
5715,R.J. Prince,Active,OG,NE
5610,Evan Brown,Active,C,DET
5091,Parry Nickerson,Active,CB,MIN
1686,Tony Jefferson,Active,DB,SF
7584,Brennan Eagles,Active,WR,DAL
2354,Mitch Morse,Active,C,BUF
6583,Joshua Moon,Active,SS,SEA
3557,Brandon Williams,Inactive,CB,NYG
4924,Zach Terrell,Active,QB,BAL
7874,Jeremiah Haydel,Active,WR,LAR
6161,LJ Scott,Active,RB,CLE
7012,Mykal Walker,Active,LB,ATL
1238,Josh Harris,Active,LS,ATL
7922,Riley Patterson,Active,K,MIN
7062,Rodrigo Blankenship,Active,K,IND
899,Dan Bailey,Active,K,MIN
5090,Folorunso Fatukasi,Active,DT,NYJ
4139,Amara Darboh,Active,WR,DEN
6430,Curtis Bolton,Active,LB,HOU
4140,Shaquill Griffin,Active,CB,JAX
1539,Paul Worrilow,Active,LB,NYJ
996,Richard Sherman,Active,CB,SF
4838,Austin Albrecht,Active,OL,TB
5981,Greg Gaines,Active,DT,LAR
8086,James Smith,Active,P,TEN
4912,AJ Hughes,Active,P,PIT
7455,John Hurst,Active,WR,LAC
5072,Jamil Demby,Active,OL,LAR
